ACCESSION	TargetID	SYMBOL	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION
NM_005005.1	ILMN_3456	NDUFB9	0.71	-0.50	0.73	-0.44	0.79	-0.33	0.81	-0.30	Homo sapiens NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa (NDUFB9), mRNA.
XM_926608.1	ILMN_34598	LOC643246	1.56	0.64	1.29	0.37	1.01	0.01	1.02	0.03	PREDICTED: Homo sapiens similar to microtubule-associated proteins 1A/1B light chain 3 (LOC643246), mRNA.
NM_018157.1	ILMN_3462	RIC8B	1.55	0.63	1.59	0.67	1.05	0.08	1.32	0.40	Homo sapiens resistance to inhibitors of cholinesterase 8 homolog B (C. elegans) (RIC8B), mRNA.
XM_936926.1	ILMN_34624	SERF1A	0.80	-0.31	0.73	-0.45	0.89	-0.17	1.22	0.28	PREDICTED: Homo sapiens small EDRK-rich factor 1A (telomeric) (SERF1A), mRNA.
NM_005920.2	ILMN_3465	MEF2D	1.05	0.06	0.71	-0.50	1.05	0.08	1.20	0.27	Homo sapiens MADS box transcription enhancer factor 2, polypeptide D (myocyte enhancer factor 2D) (MEF2D), mRNA.
NM_006844.3	ILMN_3466	ILVBL	0.22	-2.21	0.45	-1.15	0.97	-0.05	1.02	0.03	Homo sapiens ilvB (bacterial acetolactate synthase)-like (ILVBL), transcript variant 1, mRNA.
NM_145049.1	ILMN_3467	UBLCP1	1.33	0.41	1.26	0.34	0.99	-0.01	0.82	-0.29	Homo sapiens ubiquitin-like domain containing CTD phosphatase 1 (UBLCP1), mRNA.
NM_020920.1	ILMN_3472	CHD8	1.42	0.50	1.48	0.57	0.88	-0.19	0.77	-0.38	Homo sapiens chromodomain helicase DNA binding protein 8 (CHD8), mRNA.
NM_203495.1	ILMN_3473	COMMD6	0.59	-0.75	0.62	-0.68	1.25	0.32	1.03	0.05	Homo sapiens COMM domain containing 6 (COMMD6), transcript variant 2, mRNA.
XM_932770.1	ILMN_34768	LOC643373	NaN	NaN	0.79	-0.34	NaN	NaN	1.00	0.01	PREDICTED: Homo sapiens region containing hypothetical protein LOC153561; SMA4, transcript variant 2 (LOC643373), mRNA.
XM_938356.1	ILMN_34777	LOC649292	1.53	0.61	1.18	0.24	1.08	0.12	1.09	0.12	PREDICTED: Homo sapiens similar to Beta-defensin 131 precursor (Beta-defensin 31) (DEFB-31) (LOC649292), mRNA.
XM_944890.1	ILMN_34790	LOC649032	1.20	0.26	1.05	0.07	1.16	0.22	1.19	0.25	PREDICTED: Homo sapiens similar to 60S ribosomal protein L7a, transcript variant 2 (LOC649032), mRNA.
XM_940575.1	ILMN_34806	LOC651423	2.18	1.12	2.15	1.10	1.00	0.00	1.56	0.64	PREDICTED: Homo sapiens similar to mitogen-activated protein kinase kinase 3 isoform A (LOC651423), mRNA.
XM_939275.1	ILMN_34882	SH2D5	1.28	0.35	NaN	NaN	NaN	NaN	NaN	NaN	PREDICTED: Homo sapiens SH2 domain containing 5 (SH2D5), mRNA.
XM_372926.3	ILMN_34885	LOC391370	1.04	0.06	0.96	-0.05	0.97	-0.05	1.02	0.02	PREDICTED: Homo sapiens similar to ribosomal protein S12 (LOC391370), mRNA.
XM_935991.1	ILMN_34905	LOC641814	1.30	0.38	1.11	0.15	1.23	0.30	1.16	0.22	PREDICTED: Homo sapiens similar to 60S ribosomal protein L6 (TAX-responsive enhancer element binding protein 107) (TAXREB107) (Neoplasm-related protein C140), transcript variant 3 (LOC641814), mRNA.
XM_941232.1	ILMN_34961	LOC649679	1.96	0.97	1.43	0.52	1.29	0.37	1.34	0.43	PREDICTED: Homo sapiens similar to Tubulin beta-4q chain, transcript variant 1 (LOC649679), mRNA.
XM_941789.1	ILMN_34966	LOC652358	0.12	-3.02	0.54	-0.89	0.00	-9.02	NaN	NaN	PREDICTED: Homo sapiens similar to Glutathione S-transferase A1 (GTH1) (HA subunit 1) (GST-epsilon) (GSTA1-1) (GST class-alpha) (LOC652358), mRNA.
NM_002733.3	ILMN_3497	PRKAG1	1.11	0.16	NaN	NaN	0.89	-0.17	0.78	-0.36	Homo sapiens protein kinase, AMP-activated, gamma 1 non-catalytic subunit (PRKAG1), transcript variant 1, mRNA.
XM_939738.1	ILMN_34982	LOC387867	1.33	0.41	1.03	0.05	1.33	0.41	1.34	0.42	PREDICTED: Homo sapiens similar to 40S ribosomal protein SA (p40) (34/67 kDa laminin receptor) (Colon carcinoma laminin-binding protein) (NEM/1CHD4) (Multidrug resistance-associated protein MGr1-Ag) (LOC387867), mRNA.
XM_932681.1	ILMN_34995	LOC653257	0.69	-0.53	0.68	-0.56	NaN	NaN	0.45	-1.15	PREDICTED: Homo sapiens similar to Gamma-glutamyltranspeptidase 1 precursor (Gamma-glutamyltransferase 1) (CD224 antigen), transcript variant 6 (LOC653257), mRNA.
XM_942325.1	ILMN_35006	KIAA1155	1.44	0.53	1.18	0.24	0.85	-0.23	0.89	-0.17	PREDICTED: Homo sapiens KIAA1155 protein, transcript variant 3 (KIAA1155), mRNA.
XM_926450.1	ILMN_35034	LOC643076	1.16	0.22	1.26	0.33	1.05	0.07	1.19	0.25	PREDICTED: Homo sapiens similar to thioredoxin domain containing 11 (LOC643076), mRNA.
XM_926996.1	ILMN_35059	LOC340598	NaN	NaN	NaN	NaN	1.11	0.15	0.96	-0.06	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC340598), mRNA.
NM_005184.2	ILMN_3508	CALM3	0.51	-0.96	0.57	-0.82	0.79	-0.34	0.82	-0.29	Homo sapiens calmodulin 3 (phosphorylase kinase, delta) (CALM3), mRNA.
NM_015962.4	ILMN_3510	C14orf111	1.61	0.69	1.48	0.57	1.06	0.09	0.94	-0.09	Homo sapiens chromosome 14 open reading frame 111 (C14orf111), mRNA.
NM_001020.4	ILMN_3511	RPS16	1.22	0.29	1.19	0.26	1.22	0.29	1.24	0.31	Homo sapiens ribosomal protein S16 (RPS16), mRNA.
XM_930804.1	ILMN_35114	LOC653504	1.32	0.40	NaN	NaN	NaN	NaN	NaN	NaN	PREDICTED: Homo sapiens similar to transmembrane protein 29, transcript variant 2 (LOC653504), mRNA.
XM_293412.3	ILMN_35115	LOC347544	1.27	0.34	1.05	0.07	1.33	0.41	1.30	0.38	PREDICTED: Homo sapiens similar to ribosomal protein L18a (LOC347544), mRNA.
NM_015894.2	ILMN_3512	STMN3	NaN	NaN	NaN	NaN	1.89	0.92	1.73	0.79	Homo sapiens stathmin-like 3 (STMN3), mRNA.
XM_926462.1	ILMN_35148	LOC643087	1.51	0.59	1.41	0.49	1.37	0.45	1.32	0.40	PREDICTED: Homo sapiens similar to thioredoxin domain containing 11 (LOC643087), mRNA.
NM_006851.1	ILMN_3517	GLIPR1	NaN	NaN	1.66	0.73	1.19	0.25	1.23	0.29	Homo sapiens GLI pathogenesis-related 1 (glioma) (GLIPR1), mRNA.
NM_024911.4	ILMN_3521	GPR177	0.38	-1.41	0.48	-1.07	1.40	0.49	1.00	-0.01	Homo sapiens G protein-coupled receptor 177 (GPR177), transcript variant 1, mRNA.
XM_939563.1	ILMN_35222	LOC650472	0.84	-0.25	0.78	-0.36	1.14	0.19	1.23	0.30	PREDICTED: Homo sapiens similar to 60S ribosomal protein L23a (LOC650472), mRNA.
NM_003690.3	ILMN_3524	PRKRA	NaN	NaN	NaN	NaN	0.99	-0.02	1.14	0.19	Homo sapiens protein kinase, interferon-inducible double stranded RNA dependent activator (PRKRA), mRNA.
XM_936869.1	ILMN_35249	LOC123876	NaN	NaN	0.59	-0.77	NaN	NaN	NaN	NaN	PREDICTED: Homo sapiens hypothetical protein LOC123876 (LOC123876), mRNA.
XM_930388.1	ILMN_35260	LOC647319	1.59	0.66	1.34	0.43	1.11	0.15	0.99	-0.02	PREDICTED: Homo sapiens similar to vascular endothelial zinc finger 1 (LOC647319), mRNA.
NM_001930.2	ILMN_3527	DHPS	0.78	-0.37	0.83	-0.26	0.88	-0.18	0.99	-0.02	Homo sapiens deoxyhypusine synthase (DHPS), transcript variant 1, mRNA.
XM_940054.1	ILMN_35293	LOC650954	1.50	0.59	1.04	0.06	1.21	0.27	1.43	0.52	PREDICTED: Homo sapiens similar to 60S ribosomal protein L12 (LOC650954), mRNA.
XM_928682.1	ILMN_35322	LOC645671	0.27	-1.87	0.33	-1.62	0.61	-0.71	0.58	-0.79	PREDICTED: Homo sapiens similar to CG15133-PA (LOC645671), mRNA.
NM_004512.3	ILMN_3536	IL11RA	0.26	-1.96	0.54	-0.88	0.58	-0.79	0.51	-0.96	Homo sapiens interleukin 11 receptor, alpha (IL11RA), transcript variant 1, mRNA.
XM_937154.1	ILMN_35361	LOC648099	1.29	0.37	NaN	NaN	1.06	0.09	0.84	-0.25	PREDICTED: Homo sapiens similar to positive cofactor 2, glutamine/Q-rich-associated protein isoform b (LOC648099), mRNA.
NM_080703.1	ILMN_3537	BAT3	1.21	0.28	1.16	0.21	1.25	0.33	1.18	0.23	Homo sapiens HLA-B associated transcript 3 (BAT3), transcript variant 3, mRNA.
XM_927207.1	ILMN_35406	LOC643949	1.12	0.17	1.02	0.03	1.00	0.00	1.05	0.08	PREDICTED: Homo sapiens similar to 60S acidic ribosomal protein P2 (LOC643949), mRNA.
NM_002341.1	ILMN_3542	LTB	3.14	1.65	3.75	1.91	NaN	NaN	NaN	NaN	Homo sapiens lymphotoxin beta (TNF superfamily, member 3) (LTB), transcript variant 1, mRNA.
XM_941786.1	ILMN_35448	LOC652356	0.97	-0.05	0.85	-0.23	2.26	1.18	2.55	1.35	PREDICTED: Homo sapiens similar to voltage-dependent anion channel 2 (LOC652356), mRNA.
XM_933516.1	ILMN_35460	LOC643862	0.99	-0.02	1.05	0.07	1.05	0.08	1.08	0.12	PREDICTED: Homo sapiens region containing similar to Williams Beuren syndrome chromosome region 19; hypothetical LOC441257, transcript variant 2 (LOC643862), mRNA.
XM_934381.1	ILMN_35470	LOC644511	1.05	0.08	0.92	-0.12	1.30	0.38	1.11	0.16	PREDICTED: Homo sapiens similar to ribosomal protein L13a, transcript variant 2 (LOC644511), mRNA.
XR_001222.1	ILMN_35496	LOC440926	1.01	0.01	1.08	0.11	1.13	0.18	1.16	0.22	PREDICTED: Homo sapiens H3 histone, family 3A pseudogene, transcript variant 1 (LOC440926), misc RNA.
XM_940289.1	ILMN_35511	LOC401019	0.97	-0.05	0.98	-0.03	1.03	0.04	1.05	0.07	PREDICTED: Homo sapiens similar to 40S ribosomal protein S15 (RIG protein), transcript variant 3 (LOC401019), mRNA.
NM_004688.1	ILMN_3552	NMI	3.82	1.93	3.46	1.79	1.72	0.78	1.61	0.69	Homo sapiens N-myc (and STAT) interactor (NMI), mRNA.
NM_001018000.2	ILMN_3555	KIAA1026	2.03	1.02	2.30	1.20	3.28	1.71	3.77	1.92	Homo sapiens kazrin (KIAA1026), transcript variant B, mRNA.
XM_941942.1	ILMN_35551	LOC652481	1.57	0.65	1.03	0.05	1.08	0.11	0.93	-0.11	PREDICTED: Homo sapiens similar to Mitochondrial import inner membrane translocase subunit Tim23 (LOC652481), mRNA.
XM_937279.1	ILMN_35635	LOC344620	1.60	0.68	1.17	0.23	0.91	-0.13	0.91	-0.13	PREDICTED: Homo sapiens similar to CG17293-PA (LOC344620), mRNA.
XM_926769.1	ILMN_35646	LOC643438	0.77	-0.38	0.91	-0.14	0.57	-0.82	0.80	-0.33	PREDICTED: Homo sapiens similar to Huntingtin interacting protein K (LOC643438), mRNA.
XM_015717.9	ILMN_35685	LOC149224	0.87	-0.21	0.84	-0.26	1.08	0.11	1.23	0.30	PREDICTED: Homo sapiens similar to 40S ribosomal protein S7 (S8) (LOC149224), mRNA.
NM_020166.2	ILMN_3571	MCCC1	0.47	-1.10	0.73	-0.45	0.60	-0.74	0.58	-0.80	Homo sapiens methylcrotonoyl-Coenzyme A carboxylase 1 (alpha) (MCCC1), mRNA.
XM_939948.1	ILMN_35719	LOC390876	0.19	-2.37	0.19	-2.40	11.47	3.52	5.83	2.54	PREDICTED: Homo sapiens similar to 60S ribosomal protein L35 (LOC390876), mRNA.
NM_153713.1	ILMN_3572	LIX1L	0.56	-0.84	NaN	NaN	0.46	-1.11	0.46	-1.13	Homo sapiens Lix1 homolog (mouse) like (LIX1L), mRNA.
NM_015533.2	ILMN_3575	DAK	0.45	-1.14	1.07	0.10	0.46	-1.13	0.46	-1.11	Homo sapiens dihydroxyacetone kinase 2 homolog (yeast) (DAK), mRNA.
XM_928351.1	ILMN_35762	LOC645312	1.37	0.45	0.99	-0.01	1.25	0.32	1.12	0.16	PREDICTED: Homo sapiens similar to Glycolipid transfer protein (GLTP) (LOC645312), mRNA.
XM_935305.1	ILMN_35768	LOC646276	NaN	NaN	0.64	-0.65	0.69	-0.53	0.77	-0.37	PREDICTED: Homo sapiens similar to dexamethasone-induced protein, transcript variant 2 (LOC646276), mRNA.
XM_942691.1	ILMN_35791	FBXO46	1.01	0.02	0.76	-0.39	1.17	0.23	1.41	0.50	PREDICTED: Homo sapiens F-box protein 46, transcript variant 6 (FBXO46), mRNA.
XM_926458.1	ILMN_35801	LOC642749	1.75	0.81	1.51	0.59	1.43	0.52	1.32	0.40	PREDICTED: Homo sapiens similar to Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial precursor (Fp) (Flavoprotein subunit of complex II), transcript variant 1 (LOC642749), mRNA.
XM_927177.1	ILMN_35816	LOC653383	0.98	-0.03	0.70	-0.52	1.36	0.45	1.27	0.35	PREDICTED: Homo sapiens similar to CG33932-PA, isoform A (LOC653383), mRNA.
XM_171032.6	ILMN_35858	SDHAL2	NaN	NaN	1.08	0.11	1.29	0.37	1.59	0.67	PREDICTED: Homo sapiens succinate dehydrogenase complex, subunit A, flavoprotein-like 2, transcript variant 1 (SDHAL2), mRNA.
NM_020918.2	ILMN_3588	GPAM	0.26	-1.97	0.43	-1.23	0.22	-2.17	0.30	-1.72	Homo sapiens glycerol-3-phosphate acyltransferase, mitochondrial (GPAM), mRNA.
XM_929832.1	ILMN_35932	C8orf59	0.72	-0.47	0.80	-0.33	0.99	-0.02	1.06	0.08	PREDICTED: Homo sapiens chromosome 8 open reading frame 59, transcript variant 2 (C8orf59), mRNA.
XM_940063.1	ILMN_35951	ANKRD24	3.75	1.91	0.97	-0.04	NaN	NaN	NaN	NaN	PREDICTED: Homo sapiens ankyrin repeat domain 24 (ANKRD24), mRNA.
XR_000552.1	ILMN_35963	LOC168474	0.93	-0.10	0.77	-0.38	1.21	0.28	1.01	0.01	PREDICTED: Homo sapiens selenophosphate synthetase pseudogene (LOC168474), misc RNA.
NM_004431.2	ILMN_3597	EPHA2	1.65	0.72	1.32	0.40	0.81	-0.30	1.07	0.09	Homo sapiens EPH receptor A2 (EPHA2), mRNA.
XM_944816.1	ILMN_35980	LOC440927	1.79	0.84	1.45	0.53	1.56	0.64	1.39	0.47	PREDICTED: Homo sapiens similar to 60S acidic ribosomal protein P1, transcript variant 4 (LOC440927), mRNA.
XM_929105.1	ILMN_36010	LOC653709	NaN	NaN	NaN	NaN	NaN	NaN	0.90	-0.16	PREDICTED: Homo sapiens similar to CG13926-PA (LOC653709), mRNA.
XM_035497.14	ILMN_36031	KIAA1602	NaN	NaN	1.06	0.08	1.02	0.03	0.80	-0.33	PREDICTED: Homo sapiens KIAA1602 protein (KIAA1602), mRNA.
XM_062872.5	ILMN_36032	LOC121952	2.94	1.56	2.79	1.48	NaN	NaN	NaN	NaN	PREDICTED: Homo sapiens hypothetical protein LOC121952 (LOC121952), mRNA.
NM_014294.3	ILMN_3604	TRAM1	0.76	-0.40	0.69	-0.53	0.61	-0.72	0.59	-0.76	Homo sapiens translocation associated membrane protein 1 (TRAM1), mRNA.
XM_943614.1	ILMN_36041	LOC648022	1.53	0.61	1.28	0.35	0.85	-0.24	0.82	-0.29	PREDICTED: Homo sapiens similar to Zinc finger CCCH-type domain containing protein 11A, transcript variant 3 (LOC648022), mRNA.
NM_000670.3	ILMN_3605	ADH4	0.46	-1.12	0.84	-0.24	NaN	NaN	NaN	NaN	Homo sapiens alcohol dehydrogenase 4 (class II), pi polypeptide (ADH4), mRNA.
XM_944485.1	ILMN_36097	LOC653965	1.04	0.06	0.81	-0.31	0.46	-1.13	0.45	-1.15	PREDICTED: Homo sapiens similar to Signal peptidase complex subunit 2 (Microsomal signal peptidase 25 kDa subunit) (SPase 25 kDa subunit), transcript variant 3 (LOC653965), mRNA.
NM_006638.2	ILMN_3617	RPP40	0.72	-0.48	0.82	-0.29	1.12	0.16	1.06	0.08	Homo sapiens ribonuclease P 40kDa subunit (RPP40), mRNA.
XM_930284.1	ILMN_36192	LOC441763	1.21	0.28	1.19	0.25	0.47	-1.08	0.52	-0.94	PREDICTED: Homo sapiens hypothetical LOC441763 (LOC441763), mRNA.
XM_939206.1	ILMN_36194	LOC650116	1.87	0.91	1.41	0.50	0.93	-0.11	0.95	-0.08	PREDICTED: Homo sapiens hypothetical protein LOC650116 (LOC650116), mRNA.
XM_498712.2	ILMN_36196	LOC440509	1.57	0.65	1.16	0.21	1.16	0.22	1.11	0.15	PREDICTED: Homo sapiens hypothetical LOC440509 (LOC440509), mRNA.
XM_928047.1	ILMN_36201	LOC644969	0.69	-0.55	0.80	-0.32	1.07	0.09	1.24	0.31	PREDICTED: Homo sapiens similar to Ubiquinol-cytochrome c reductase complex 14 kDa protein (Complex III subunit VI) (QP-C) (LOC644969), mRNA.
NM_018074.3	ILMN_3627	FLJ10374	1.12	0.16	1.22	0.29	0.89	-0.17	0.79	-0.34	Homo sapiens hypothetical protein FLJ10374 (FLJ10374), mRNA.
NM_182507.1	ILMN_3629	LOC144501	NaN	NaN	NaN	NaN	1.53	0.61	1.29	0.37	Homo sapiens hypothetical protein LOC144501 (LOC144501), mRNA.
XM_943353.1	ILMN_36327	LOC648024	1.96	0.97	1.40	0.48	0.94	-0.08	1.17	0.22	PREDICTED: Homo sapiens similar to eukaryotic translation initiation factor 4A, isoform 1, transcript variant 2 (LOC648024), mRNA.
NM_144709.1	ILMN_3641	FLJ32312	NaN	NaN	NaN	NaN	1.18	0.24	0.84	-0.25	Homo sapiens hypothetical protein FLJ32312 (FLJ32312), mRNA.
XM_294802.5	ILMN_36417	LOC641704	1.00	0.00	1.04	0.06	0.94	-0.09	1.03	0.05	PREDICTED: Homo sapiens similar to hypothetical protein LOC284701, transcript variant 1 (LOC641704), mRNA.
XM_929125.1	ILMN_36491	LOC646163	1.19	0.25	0.83	-0.26	1.44	0.53	1.18	0.24	PREDICTED: Homo sapiens similar to 60S ribosomal protein L3 (L4) (LOC646163), mRNA.
XM_058720.7	ILMN_36497	WHDC1	0.79	-0.33	1.20	0.26	0.63	-0.66	0.74	-0.43	PREDICTED: Homo sapiens WAS protein homology region 2 domain containing 1, transcript variant 1 (WHDC1), mRNA.
NM_002508.1	ILMN_3650	NID1	1.27	0.34	0.97	-0.04	0.95	-0.07	1.14	0.19	Homo sapiens nidogen 1 (NID1), mRNA.
XM_373253.2	ILMN_36549	LOC392222	1.49	0.58	1.42	0.51	0.96	-0.05	1.03	0.04	PREDICTED: Homo sapiens similar to UPF0315 protein (LOC392222), mRNA.
XM_065899.2	ILMN_36588	LOC130773	1.25	0.32	1.05	0.07	1.28	0.36	1.34	0.42	PREDICTED: Homo sapiens similar to 60S ribosomal protein L23a (LOC130773), mRNA.
NM_019891.2	ILMN_3659	ERO1LB	1.89	0.91	0.95	-0.08	NaN	NaN	NaN	NaN	Homo sapiens ERO1-like beta (S. cerevisiae) (ERO1LB), mRNA.
NM_005461.3	ILMN_3663	MAFB	0.96	-0.06	0.50	-1.01	2.25	1.17	3.73	1.90	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian) (MAFB), mRNA.
NM_001007553.1	ILMN_3664	CSDE1	1.04	0.06	1.15	0.20	0.72	-0.47	0.67	-0.58	Homo sapiens cold shock domain containing E1, RNA-binding (CSDE1), transcript variant 1, mRNA.
XM_939952.1	ILMN_36674	LOC648294	0.64	-0.65	0.77	-0.37	0.95	-0.07	1.08	0.11	PREDICTED: Homo sapiens similar to 60S ribosomal protein L23a (LOC648294), mRNA.
XM_944420.1	ILMN_36732	LOC648314	1.34	0.42	0.98	-0.04	1.51	0.59	1.42	0.50	PREDICTED: Homo sapiens similar to ribosomal protein L4, transcript variant 2 (LOC648314), mRNA.
NM_012143.2	ILMN_3675	TFIP11	1.23	0.30	1.21	0.28	0.81	-0.31	0.64	-0.64	Homo sapiens tuftelin interacting protein 11 (TFIP11), transcript variant 2, mRNA.
XM_928334.1	ILMN_36787	FAM20C	NaN	NaN	NaN	NaN	NaN	NaN	1.38	0.46	PREDICTED: Homo sapiens family with sequence similarity 20, member C (FAM20C), mRNA.
XM_936257.1	ILMN_36869	LOC653890	0.93	-0.11	0.99	-0.02	0.93	-0.10	1.17	0.23	PREDICTED: Homo sapiens similar to serine/threonine/tyrosine interacting protein (LOC653890), mRNA.
NM_006527.2	ILMN_3687	SLBP	1.11	0.16	0.79	-0.33	0.87	-0.20	0.92	-0.13	Homo sapiens stem-loop (histone) binding protein (SLBP), mRNA.
XM_941950.1	ILMN_36884	LOC652489	1.12	0.17	0.83	-0.26	1.06	0.08	0.99	-0.02	PREDICTED: Homo sapiens similar to SMT3 suppressor of mif two 3 homolog 2 (LOC652489), mRNA.
XM_940627.1	ILMN_36889	LBA1	2.93	1.55	2.88	1.52	NaN	NaN	NaN	NaN	PREDICTED: Homo sapiens lupus brain antigen 1 (LBA1), mRNA.
NM_015196.2	ILMN_3689	KIAA0922	1.70	0.76	NaN	NaN	NaN	NaN	NaN	NaN	Homo sapiens KIAA0922 (KIAA0922), mRNA.
XM_372002.3	ILMN_36916	LOC389599	NaN	NaN	0.27	-1.88	0.68	-0.56	0.74	-0.44	PREDICTED: Homo sapiens similar to amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2 (LOC389599), mRNA.
NM_016024.1	ILMN_3692	RBMX2	1.77	0.82	1.70	0.76	0.84	-0.25	0.60	-0.73	Homo sapiens RNA binding motif protein, X-linked 2 (RBMX2), mRNA.
XM_038150.5	ILMN_36935	MAST3	0.88	-0.19	0.51	-0.97	1.28	0.35	1.81	0.86	PREDICTED: Homo sapiens microtubule associated serine/threonine kinase 3 (MAST3), mRNA.
NM_014745.1	ILMN_3694	FAM38A	1.39	0.48	1.41	0.50	1.79	0.84	1.57	0.65	Homo sapiens family with sequence similarity 38, member A (FAM38A), mRNA.
NM_018163.1	ILMN_3695	DNAJC17	1.24	0.31	1.46	0.55	1.15	0.20	0.87	-0.20	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 17 (DNAJC17), mRNA.
XM_934553.1	ILMN_36968	LOC647234	1.61	0.69	NaN	NaN	0.95	-0.07	0.94	-0.09	PREDICTED: Homo sapiens hypothetical protein LOC647234 (LOC647234), mRNA.
NM_030645.1	ILMN_3697	SH3BP5L	0.61	-0.71	0.86	-0.22	0.92	-0.12	0.90	-0.15	Homo sapiens SH3-binding domain protein 5-like (SH3BP5L), mRNA.
XM_943325.1	ILMN_36976	LOC441385	NaN	NaN	1.10	0.14	NaN	NaN	NaN	NaN	PREDICTED: Homo sapiens hypothetical LOC441385 (LOC441385), mRNA.
XM_930446.1	ILMN_36978	LOC653698	1.36	0.45	1.03	0.04	0.71	-0.49	0.68	-0.56	PREDICTED: Homo sapiens similar to mitochondrial carrier protein MGC4399, transcript variant 1 (LOC653698), mRNA.
XM_936226.1	ILMN_36989	LOC653879	1.11	0.15	1.14	0.19	0.61	-0.72	0.63	-0.66	PREDICTED: Homo sapiens similar to Complement C3 precursor (LOC653879), mRNA.
XM_930914.1	ILMN_36990	LOC653108	1.20	0.27	0.81	-0.30	2.20	1.13	3.47	1.79	PREDICTED: Homo sapiens similar to coxsackie virus and adenovirus receptor (LOC653108), mRNA.
NM_014230.2	ILMN_3701	SRP68	1.49	0.57	1.24	0.31	NaN	NaN	NaN	NaN	Homo sapiens signal recognition particle 68kDa (SRP68), mRNA.
XM_938141.1	ILMN_37020	LOC647954	0.68	-0.56	0.59	-0.77	0.72	-0.47	0.53	-0.91	PREDICTED: Homo sapiens similar to Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keraton-8) (K8) (LOC647954), mRNA.
NM_203301.1	ILMN_3703	FBXO33	0.82	-0.28	0.62	-0.68	1.06	0.08	1.17	0.23	Homo sapiens F-box protein 33 (FBXO33), mRNA.
XM_371152.2	ILMN_37107	ZNF486	0.96	-0.06	0.97	-0.04	1.05	0.06	1.12	0.16	PREDICTED: Homo sapiens zinc finger protein 486 (ZNF486), mRNA.
XM_933604.1	ILMN_37144	LOC644037	1.81	0.85	1.07	0.09	1.68	0.75	1.76	0.82	PREDICTED: Homo sapiens similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed), transcript variant 2 (LOC644037), mRNA.
XM_936627.1	ILMN_37165	LOC647572	0.96	-0.06	0.89	-0.16	1.14	0.18	1.15	0.20	PREDICTED: Homo sapiens similar to ribosomal protein L13a (LOC647572), mRNA.
NM_000381.1	ILMN_3719	MID1	0.90	-0.15	1.15	0.21	0.92	-0.11	0.93	-0.10	Homo sapiens midline 1 (Opitz/BBB syndrome) (MID1), transcript variant 1, mRNA.
XM_938054.1	ILMN_37195	LOC388564	0.35	-1.50	0.51	-0.98	0.44	-1.20	0.38	-1.39	PREDICTED: Homo sapiens hypothetical gene supported by BC052596 (LOC388564), mRNA.
XM_927612.1	ILMN_37198	LOC644482	0.52	-0.95	1.47	0.55	0.78	-0.35	0.89	-0.17	PREDICTED: Homo sapiens similar to NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa (LOC644482), mRNA.
XM_927165.1	ILMN_37204	LOC642770	0.94	-0.08	0.84	-0.25	1.00	0.01	1.16	0.22	PREDICTED: Homo sapiens similar to 60S ribosomal protein L17 (L23) (LOC642770), mRNA.
XM_928866.1	ILMN_37216	LOC645895	1.04	0.06	1.02	0.03	1.03	0.04	1.05	0.07	PREDICTED: Homo sapiens hypothetical protein LOC645895 (LOC645895), mRNA.
XM_928705.1	ILMN_37239	LOC653658	0.89	-0.17	0.79	-0.34	1.08	0.12	1.27	0.35	PREDICTED: Homo sapiens similar to ribosomal protein S23 (LOC653658), mRNA.
XM_928899.1	ILMN_37288	LOC645929	1.49	0.57	1.48	0.57	0.95	-0.08	0.96	-0.06	PREDICTED: Homo sapiens similar to transcription factor 23 (LOC645929), mRNA.
XM_934529.1	ILMN_37323	HSPCAL3	1.44	0.53	1.41	0.50	1.12	0.16	1.59	0.67	PREDICTED: Homo sapiens heat shock 90kDa protein 1, alpha-like 3, transcript variant 3 (HSPCAL3), mRNA.
XM_925893.1	ILMN_37332	LOC642365	1.22	0.29	NaN	NaN	0.90	-0.15	0.70	-0.51	PREDICTED: Homo sapiens hypothetical protein LOC642365 (LOC642365), mRNA.
NM_001009958.1	ILMN_3736	ZNF655	1.81	0.85	1.12	0.16	1.11	0.16	1.01	0.01	Homo sapiens zinc finger protein 655 (ZNF655), transcript variant 4, mRNA.
NM_001005922.1	ILMN_3737	KRTAP5-1	1.53	0.61	1.38	0.47	0.76	-0.39	NaN	NaN	Homo sapiens keratin associated protein 5-1 (KRTAP5-1), mRNA.
