Gene Name	Common	Genbank	Description
230370	PLA2G4F	NM_213600.1	hypothetical protein LOC255189
221158	FBXL14	NM_152441.1	F-box and leucine-rich repeat protein 14
168570	PLEKHG4	BC001520.2	
154676	null		
147793	IL20	NM_018724.2	interleukin 20
185973	UBTD1	NM_024954.3	hypothetical protein FLJ11807
109221	HRH3	NM_007232.1	histamine receptor H3
173734	FLJ20433	NM_017820.2	hypothetical protein FLJ20433
190925	C17orf41	NM_024857.3	hypothetical protein FLJ12735
165958	null		
230790	null		
173962	KIAA2002	AB082533.1	
225588	RHOBTB1	NM_198225.1	Rho-related BTB domain containing 1
178164	C1orf172	NM_152365.1	hypothetical protein FLJ34633
195484	null		
165579	null		
229206	HADHA		
192110	FAM81A	NM_152450.1	hypothetical protein MGC26690
369681	LOC339352		
118352	QTRT1	NM_031209.1	queuine tRNA-ribosyltransferase 1 (tRNA-guanine transglycosylase)
212552	ZNF546	NM_178544.2	zinc finger protein 546
193670	HK3	NM_002115.1	hexokinase 3 (white cell)
175916	HOP		
209773	AP3B2	NM_004644.3	adaptor-related protein complex 3, beta 2 subunit
161328	MGC2848	NM_032917.1	
235193	ZNF652	NM_014897.1	
162336	PTPRD	NM_002839.1	protein tyrosine phosphatase, receptor type, D
173915	DCUN1D2	NM_018185.1	chromosome 13 open reading frame 17
194975	CNTN1	NM_001843.2	contactin 1
146055	PPP2R5B	NM_006244.2	protein phosphatase 2, regulatory subunit B (B56), beta isoform
228980	null		
214843	SAGE1	NM_018666.1	sarcoma antigen 1
181880	PTCRA	NM_138296.1	pre T-cell antigen receptor alpha
159454	ECE1	NM_001397.1	endothelin converting enzyme 1
232206	null	AK021554.1	
197093	null	AE000659.1_CDS_7	
543956	LOC442140		
175795	SSH2	NM_033389.2	slingshot homolog 2 (Drosophila)
192322	null		
129524	null		
130628	null	AK027082.1	
103659	SLC26A5	NM_206883.1	prestin (motor protein)
216188	KIAA0672	AB014572.1	
205995	FAM13C1	NM_198215.1	family with sequence similarity 13, member C1
220904	null		
134084	BACH2	NM_021813.1	BTB and CNC homology 1, basic leucine zipper transcription factor 2
361072	null		
115499	MGC39518	NM_173822.1	hypothetical protein MGC39518
565379	LOC283761	BC039350.1	
227601	MTHFD2L	BC032771.1	
164202	FAM78B		
707763	CARD11	AK056847.1	
133919	KRTHB4	NM_033045.2	keratin, hair, basic, 4
207991	SYDE2	AL834286.1	
673347	null	AK074818.1	
153038	PPP1R3E	AK024489.1	
178031	TMEM40	NM_018306.2	hypothetical protein FLJ11036
135769	PITX3	NM_005029.3	paired-like homeodomain transcription factor 3
196076	SLC36A1	NM_078483.2	solute carrier family 36 (proton/amino acid symporter), member 1
142892	KIRREL	NM_018240.3	kin of IRRE like (Drosophila)
194641	PRRG2	NM_000951.1	proline rich Gla (G-carboxyglutamic acid) 2
220154	FLJ46358	NM_207439.2	FLJ46358 protein
207120	NCK2	NM_003581.1	NCK adaptor protein 2
234056	LOC145820	AK057337.1	
202118	CD72	NM_001782.1	CD72 antigen
224728	MESDC2	BC012746.2	
233283	KIAA1908	BC047649.1	
211181	SURF6	NM_006753.3	surfeit 6
141843	PSTPIP2	NM_024430.2	proline-serine-threonine phosphatase interacting protein 2
145727	null		
168130	LALBA	NM_002289.1	lactalbumin, alpha-
126439	NBPF7		
130238	RAD51L1	NM_133510.2	RAD51-like 1 (S. cerevisiae)
101800	BARX2	NM_003658.3	BarH-like homeobox 2
237106	null		
193383	KRTHB1	NM_002281.2	keratin, hair, basic, 6 (monilethrix);keratin, hair, basic, 1
203973	PTPRU	NM_005704.2	protein tyrosine phosphatase, receptor type, U
231814	ZNF337	BC034569.1	
146072	null		
168033	LPHN3	NM_015236.1	latrophilin 3
226827	TTC21A	NM_145755.1	TPR domain containing STI2
230625	null	AL035252.5_CDS_3	
186730	KREMEN2	NM_024507.2	kringle containing transmembrane protein 2
237043	LOC92249	AL080202.1	
165129	TRIM10	NM_006778.2	tripartite motif-containing 10
233153	LOC144742	AK057497.1	
132779	null	U66060.1_CDS_11	
230924	null		
211648	PSG1	NM_006905.2	pregnancy specific beta-1-glycoprotein 1
125499	CACNA2D1	NM_000722.1	calcium channel, voltage-dependent, alpha 2/delta subunit 1
112046	null		
183003	ZNF346	NM_012279.2	zinc finger protein 346
105863	HIST1H1B	NM_005322.2	histone 1, H1b
163807	ZNF342	NM_145288.1	zinc finger protein 342
110240	TRIM31	NM_007028.2	tripartite motif-containing 31
147186	USH1G	NM_173477.2	Usher syndrome 1G (autosomal recessive)
229299	null	AK025081.1	
201257	RNF26	NM_032015.3	ring finger protein 26
165844	TBN	NM_138572.1	taube nuss homolog (mouse)
232217	null		
167147	PITX2	NM_153427.1	paired-like homeodomain transcription factor 2
539274	null		
195039	SSX3	NM_175711.1	synovial sarcoma, X breakpoint 3;synovial sarcoma, X breakpoint 2
167565	null		
219817	HOXD4	NM_014621.2	homeo box D4
106893	LPL	NM_000237.1	lipoprotein lipase
139751	null		
706939	null		
133461	HMX3		
208318	LOC387723		
232873	ARMCX6	NM_019007.2	hypothetical protein FLJ20811
125250	DUSP15	NM_177991.1	dual specificity phosphatase-like 15
132155	MYL7	NM_021223.1	myosin, light polypeptide 7, regulatory
230725	null	BC002811.2	
112020	OTOG		
235263	null	NM_173543.1	hypothetical protein FLJ32844
215653	ZNF114	NM_153608.1	hypothetical protein MGC17986
155212	ICAM2	NM_000873.2	intercellular adhesion molecule 2
213218	SH2D1A	NM_002351.1	SH2 domain protein 1A, Duncan's disease (lymphoproliferative syndrome)
687679	null	BC040893.1	
229917	null	AK096268.1	
167368	PROL1	NM_021225.1	proline rich 1
119457	null		
214635	KSR1	AK095721.1	
229793	null		
108749	ING5	NM_032329.4	inhibitor of growth family, member 5
149391	NHLH2	NM_005599.2	nescient helix loop helix 2
121468	DLL3	NM_016941.2	delta-like 3 (Drosophila)
206185	TRHDE	NM_013381.1	thyrotropin-releasing hormone degrading ectoenzyme
170320	PUNC	NM_004884.1	putative neuronal cell adhesion molecule
170532	CD226	NM_006566.1	CD226 antigen
159221	null	Z12326.1_CDS_1	
220171	null	BC000885.1	
134134	MYOG	BC053899.1	
142534	WHSC1	NM_007331.1	Wolf-Hirschhorn syndrome candidate 1
126129	NFATC2	NM_012340.2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2
699257	null		
189180	SEZ6	NM_178860.2	seizure related 6 homolog (mouse)
200626	SLC5A11	NM_052944.2	solute carrier family 5 (sodium/glucose cotransporter), member 11
208473	KIAA0960	BC016980.2	
159713	null		
144077	null		
178335	SMCHD1		
233984	null	AX747269.1	
179018	MYST4	NM_012330.1	MYST histone acetyltransferase (monocytic leukemia) 4
128690	ANAPC1|RGPD1		
187003	KA35	NM_213656.1	type I hair keratin KA35
202348	MXD1	NM_002357.1	putative nucleic acid binding protein RY-1;MAX dimerization protein 1
115387	COL23A1	NM_173465.2	collagen, type XXIII, alpha 1
123343	DKFZp451M2119	NM_182585.1	hypothetical protein DKFZp451M2119
220525	NOTO		
209219	EYA4	NM_172105.1	eyes absent homolog 4 (Drosophila)
163273	null	AK123977.1	
205009	EBF	NM_024007.2	early B-cell factor
230092	FLJ35220	AK056045.1	
171484	KIAA0515	NM_032640.2	
697129	RAPH1	NM_213589.1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
136455	null		
232095	null		
178024	ZNF704	AK131274.1	
174455	HAVCR2	NM_032782.2	hepatitis A virus cellular receptor 2
120350	ZNF537	NM_020856.1	zinc finger protein 537
223348	RTTN	NM_173630.2	rotatin
201200	LOC120379	NM_138789.2	hypothetical protein BC019238
157464	HSD17B1	NM_000413.1	hydroxysteroid (17-beta) dehydrogenase 1
181804	LOC342934		
208792	null		
182466	ADCY9	NM_001116.1	adenylate cyclase 9
193550	TMEM17	NM_198276.1	transmembrane protein 17
112985	SV2A	AB018279.1	synaptic vesicle glycoprotein 2A
112287	null		
106362	SMAD9	NM_005905.2	SMAD, mothers against DPP homolog 9 (Drosophila)
10715908	null	BC033566.1	
223834	null		
236315	null		
215374	NBEA	NM_015678.2	neurobeachin
203177	LOC340094	BC042977.2	
230287	LOC153346	BX648997.1	
199902	null		
227377	null		
162043	FLJ27465	AK130975.1	
171779	CD8A	NM_171827.1	CD8 antigen, alpha polypeptide (p32)
423350	LOC284215	AK098180.1	
199386	PPP1R14D	NM_017726.6	protein phosphatase 1, regulatory (inhibitor) subunit 14D
125348	USP51		ubiquitin specific protease 51
158846	GPR171	NM_013308.2	platelet activating receptor homolog
234474	LOC284930	BC039485.1	
204117	LRRK1	NM_024652.2	leucine-rich repeat kinase 1
121840	EDN1	NM_001955.2	endothelin 1
209044	PIP5K2B	NM_003559.3	phosphatidylinositol-4-phosphate 5-kinase, type II, beta
173846	GPRASP1	NM_014710.1	G protein-coupled receptor-associated sorting protein
169003	SFRP4	NM_003014.2	secreted frizzled-related protein 4
204452	SCN1B	NM_001037.3	sodium channel, voltage-gated, type I, beta
119044	null		
191265	NGFB	NM_002506.1	nerve growth factor, beta polypeptide
206021	MGC4172	NM_024308.2	hypothetical protein MGC4172
135316	VDR	NM_000376.1	vitamin D (1,25- dihydroxyvitamin D3) receptor
174939	FLJ21062	NM_024788.2	hypothetical protein FLJ21062
112323	CNTNAP2	NM_014141.3	contactin associated protein-like 2
233723	SOD2	NM_000636.1	superoxide dismutase 2, mitochondrial
110654	MON1A	NM_032355.2	hypothetical protein MGC13272
219486	HGF	NM_000601.3	hepatocyte growth factor (hepapoietin A; scatter factor)
149653	KIFC3	NM_005550.2	kinesin family member C3
105743	KIAA1008	NM_014953.2	KIAA1008
121114	LOC146325	NM_145270.1	similar to hypothetical protein FLJ13841
181785	ACHE	NM_000665.2	acetylcholinesterase (YT blood group)
153157	KCNK4	NM_016611.2	potassium channel, subfamily K, member 4
125487	FGD3	NM_033086.1	FGD1 family, member 3
125747	INHA	NM_002191.2	inhibin, alpha
270187	null	AK054575.1	
235423	null	BC002629.1	
223148	null		
670822	KRTAP6-1	NM_181602.1	keratin associated protein 6-1
169116	KLK2	NM_005551.2	kallikrein 2, prostatic
205115	HS747E2A	NM_015370.1	hypothetical protein HS747E2A
199254	TU3A	NM_007177.1	TU3A protein
159423	RBM35A	NM_017697.1	hypothetical protein FLJ20171
144499	C17orf56	NM_144679.1	hypothetical protein FLJ31528
229905	ZNF618		
235343	null		
111213	PDE1C	NM_005020.1	phosphodiesterase 1C, calmodulin-dependent 70kDa
143783	EXDL1	NM_152596.2	hypothetical protein MGC33637
120363	null	AK130825.1	
336520	BRWD3		
224773	ASPH	NM_032466.1	aspartate beta-hydroxylase
162896	CD38	NM_001775.2	CD38 antigen (p45)
142200	UPK1A	NM_007000.2	uroplakin 1A
196631	null		
143113	SYK	NM_003177.3	spleen tyrosine kinase
219598	STAU2	NM_014393.1	staufen, RNA binding protein, homolog 2 (Drosophila)
183323	CFTR	NM_000492.2	cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)
257281	SSX1		
128049	CCL24	NM_002991.2	chemokine (C-C motif) ligand 24
124600	B3GAT1	NM_054025.1	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)
179411	KIAA1295	NM_017963.2	
224150	null		
178041	TMIE	NM_147196.1	transmembrane inner ear
189778	MAP1LC3C		
216668	COPG2	NM_012133.1	coatomer protein complex, subunit gamma 2
169674	PSMD9	NM_002813.4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9
530002	VSIG6	J00238.1_CDS_1	
190144	CCDC35	AK125885.1	
107557	ADMR	NM_007264.3	adrenomedullin receptor
178328	C8orf46	NM_152765.2	hypothetical protein MGC33510
161913	EPHA10	AX803393.1_CDS_1	
228044	null		
220276	SLC41A1	BX641054.1	
172553	LOC343474|PHKA1	NM_002637.1	phosphorylase kinase, alpha 1 (muscle)
160306	null	AF143870.1	
235907	null		
179837	DCP2	NM_152624.3	decapping enzyme hDcp2
123821	LOC153364	NM_203406.1	similar to metallo-beta-lactamase superfamily protein
117883	CH25H	NM_003956.2	cholesterol 25-hydroxylase
233141	null		
190246	RNF135	NM_197939.1	ring finger protein 135
375919	DUX3	NM_012146.1	double homeobox, 1;double homeobox, 3;double homeobox, 5
128294	null		
114885	NPTXR	NM_014293.2	neuronal pentraxin receptor
150703	EPS8L3	NM_133181.2	EPS8-like 3
708402	MGC51025|ZNF286	NM_178571.2	hypothetical protein MGC51025
523571	THRA		
152113	LOC402426		
161252	FGF19	NM_005117.2	fibroblast growth factor 19
156851	null	AX972249.1_CDS_1	
168407	C19orf4	NM_012109.1	chromosome 19 open reading frame 4
214486	CD3G	NM_000073.1	CD3G antigen, gamma polypeptide (TiT3 complex)
126901	LOC439914		hypothetical protein FLJ37045
224127	LOC222171	NM_175887.2	hypothetical protein LOC222171
126202	ECAT8	BC049000.1	
216991	FLJ37478	NM_178557.2	hypothetical protein FLJ37478
143052	ZNF423	NM_015069.2	zinc finger protein 423
106570	MICAL-L1	NM_033386.1	molecule interacting with Rab13
126130	CXorf23	NM_198279.1	chromosome X open reading frame 23
164337	null	AK022082.1	
144369	ITCH	NM_031483.3	itchy homolog E3 ubiquitin protein ligase (mouse)
189758	null		
154695	ZIC2	NM_007129.2	Zic family member 2 (odd-paired homolog, Drosophila)
214862	ICEBERG	NM_021571.2	ICEBERG caspase-1 inhibitor
209191	MLR1	AK055258.1	transcription factor MLR1
231529	null	AK056771.1	
201675	PTHR1	NM_000316.2	parathyroid hormone receptor 1
211586	DUSP21	NM_022076.2	dual specificity phosphatase 21
147103	null		
151912	LMTK2	NM_014916.2	lemur tyrosine kinase 2;class II bHLH protein MIST1
217324	WHSC1L1	NM_017778.2	Wolf-Hirschhorn syndrome candidate 1-like 1
232985	null	BC009347.2	
228290	LOC158572		
113231	PODXL2	NM_015720.1	endoglycan
209198	null		
157028	null		
292911	LOC286009	AK097428.1	
111639	HOXC4	NM_153693.1	homeo box C6
204403	FAM11A	NM_032508.1	family with sequence similarity 11, member A
183258	SLC35F2	NM_017515.3	solute carrier family 35, member F2
132785	null		
131955	ZC3H12D	AK127932.1	
143857	ANKRD47	NM_198471.1	FLJ46061 protein
147272	HTR1D	NM_000864.3	5-hydroxytryptamine (serotonin) receptor 1D
236965	null		
232304	null		
221617	SFRS3	NM_003017.3	splicing factor, arginine/serine-rich 3
10353180	null	BX640790.1	
111545	GZMM	NM_005317.2	granzyme M (lymphocyte met-ase 1)
144755	null		
102862	TEX9	NM_198524.1	LOC161577 protein
110915	IL17C	NM_013278.3	interleukin 17C
185721	REXO1	NM_138813.1	ATPase, Class I, type 8B, member 3;transcription elongation factor B polypeptide 3 binding protein 1
230401	COL13A1	NM_080806.2	collagen, type XIII, alpha 1
171874	ZNF651	NM_145166.2	hypothetical protein KIAA1190
167538	null		
164780	CST2	NM_001322.2	cystatin SA
149825	LEF1	NM_016269.2	lymphoid enhancer-binding factor 1
226658	VAMP4	AF044310.1	
232567	null		
148761	BAPX1	NM_001189.2	bagpipe homeobox homolog 1 (Drosophila)
232965	null	AK092916.1	
111424	FASTK	NM_033015.2	FAST kinase
109937	FHOD3	NM_025135.1	
177450	C6orf168	NM_032511.1	chromosome 6 open reading frame 168
504890	LOC387932	AK097816.1	
128513	CLCN2	NM_004366.2	chloride channel 2
180026	FLJ39873	NM_173799.2	hypothetical protein FLJ39873
205123	WDTC1	NM_015023.2	WD and tetratricopeptide repeats 1
140047	C20orf118	AK123544.1	
216437	HORMAD1	NM_032132.2	HORMA domain containing protein
201520	null		
178258	ZNF444	BC021282.2	zinc finger protein 444
138692	null		
207132	ULBP1	NM_025218.1	UL16 binding protein 1
704185	C17orf57		
178829	null		
114663	LCP2	NM_005565.3	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)
224697	ENPP7		
164725	FAP	NM_004460.2	fibroblast activation protein, alpha
197651	ID4	NM_001546.2	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
702747	UCA1	BC017567.1	
109311	APOL5	NM_030642.1	apolipoprotein L, 5
716550	null		
157862	TAP2	NM_018833.1	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
127236	null		
712541	TAS2R43	NM_176884.1	taste receptor, type 2, member 43
228846	null		
453283	OPA3	NM_025136.1	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)
148909	null		
176195	BOP1	NM_015201.3	block of proliferation 1
122260	EPHA3	NM_005233.3	EphA3
225518	NAP1L5	NM_153757.1	nucleosome assembly protein 1-like 5
473104	null		
225384	RP13-36C9.3|RP13-36C9.6|CT45-4|RP13-36C9.1|CT45-6|CT45-1	NM_152582.3	hypothetical protein MGC27005
189839	C1orf105	BC038410.1	
282913	null	AK055459.1	
191510	SASS6	NM_194292.1	hypothetical protein DKFZp761A078
227885	CCDC18	NM_206886.1	sarcoma antigen NY-SAR-41
151325	null	Y16795.1_CDS_1	
149999	SLC44A5	NM_152697.2	hypothetical protein MGC34032
128634	GDF2	NM_016204.1	growth differentiation factor 2
166580	DKFZp547D2210	NM_153685.2	hypothetical protein DKFZp547D2210
169075	ARMCX2	NM_014782.4	armadillo repeat containing, X-linked 2
102060	LILRA3	NM_006865.2	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3
193172	HIST1H3G	NM_003534.2	histone 1, H3g
135494	IL12RB2	NM_001559.2	interleukin 12 receptor, beta 2
191902	C14orf109	AL080118.1	
210420	STX1A	NM_004603.1	syntaxin 1A (brain)
356563	null	AL133086.1	
163638	ATXN7L4	NM_152749.2	hypothetical protein MGC33190
113259	CRYGS	NM_017541.2	crystallin, gamma S
546187	null		
221231	null	BC002534.2	
139522	PLA2G2D	NM_012400.2	phospholipase A2, group IID
597414	LOC285205	BC039517.1	
230604	PHF21A	NM_016621.2	BRAF35/HDAC2 complex (80 kDa)
196887	null		
150963	DF	NM_001928.2	D component of complement (adipsin)
114509	PARP15		hypothetical protein FLJ40597
212411	MYLPF	NM_013292.2	myosin light chain 2
118386	GPR18	NM_005292.2	G protein-coupled receptor 18
110083	CTNS	NM_004937.1	cystinosis, nephropathic
178353	MAGEA11	NM_005366.3	melanoma antigen, family A, 11
125148	C9orf100	NM_032818.1	chromosome 9 open reading frame 100
225854	TSPAN32	NM_139024.2	pan-hematopoietic expression
232770	ODZ2	AX058614.1_CDS_1	
200418	ATXN2L	NM_017492.2	ataxin 2 related protein
149300	FLJ43806	NM_201628.1	hypothetical protein FLJ43806
159274	ACVR1B	NM_020328.2	activin A receptor, type IB
128383	GRLF1	NM_024342.1	glucocorticoid receptor DNA binding factor 1
208992	FLJ13265	NM_024877.1	hypothetical protein FLJ13265
202634	KIAA0423	NM_015091.1	KIAA0423
156916	null		
126637	PRRG1	NM_000950.1	proline rich Gla (G-carboxyglutamic acid) 1
110772	COL19A1	NM_001858.3	collagen, type XIX, alpha 1
181278	null	S50732.1	
101216	FLJ37035	BC015213.1	
217913	ZNF341	NM_032819.3	zinc finger protein 341
147144	CSGlcA-T	NM_019015.1	chondroitin sulfate glucuronyltransferase
232413	null	AK057719.1	
150357	FLJ14346	BC018206.1	hypothetical protein FLJ14346
172083	RDM1	NM_145654.2	RAD52 homolog B (S. cerevisiae)
113567	null		
104484	FAM98B	NM_173611.1	hypothetical protein FLJ38426
422268	TESSP2	NM_182702.1	testis serine protease 2
155355	RSPO3	NM_032784.2	thrombospondin, type I, domain 2
232726	null		
127269	TNKS	NM_003747.1	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
103870	SLC12A6	NM_005135.1	solute carrier family 12 (potassium/chloride transporters), member 6
177216	LOC223075		
185340	TNFRSF7	NM_001242.3	tumor necrosis factor receptor superfamily, member 7
170351	NEIL2	NM_145043.1	nei like 2 (E. coli)
149558	RBPMS2	NM_194272.1	
155357	SSPN	NM_005086.3	sarcospan (Kras oncogene-associated gene)
236574	FLJ42289	NM_207383.1	FLJ42289 protein
172784	TTLL11	NM_194252.1	chromosome 9 open reading frame 20
227866	ZFP41	NM_173832.2	hypothetical protein FLJ38705
150652	ARTN	NM_057091.1	artemin
147857	IGHG1	AF184766.1_CDS_1	
670451	LOC146429	AL137382.1	
227774	EVC2	NM_147127.2	Ellis van Creveld syndrome 2 (limbin)
142330	null		
194802	null		
216083	ZC3H6	NM_198581.1	zinc finger CCCH type domain containing 6
204458	MARCO	NM_006770.2	macrophage receptor with collagenous structure
130918	null		
143998	SFRP1	NM_003012.2	secreted frizzled-related protein 1
231142	null		
231410	null		
159379	ACR|bA395L14.13	NM_001097.1	acrosin
318756	FLJ38773	NM_178528.2	
117813	VCY1B|VCY	NM_004679.1	variable charge, Y-linked
123784	null	NM_005162.2	
228632	null		
612598	LOC255330		
107593	ABCA3	NM_001089.1	ATP-binding cassette, sub-family A (ABC1), member 3
112470	RNF183	NM_145051.2	hypothetical protein MGC4734
111880	FLJ10211	BC054518.1	
116838	PDDC1	NM_182612.1	hypothetical protein FLJ34283
157937	IL2RB	NM_000878.2	interleukin 2 receptor, beta
713642	LOC387895	BC040060.1	
170835	NYX	NM_022567.1	nyctalopin
212448	COX6B2	NM_144613.3	cytochrome c oxidase subunit VIb, testes-specific
175556	UPP2	NM_173355.2	uridine phosphorylase 2
701662	null		
10567608	KIAA1729	BC040874.1	
100687	HRASLS2	NM_017878.1	HRAS-like suppressor 2
211638	RNF36	NM_182985.2	ring finger protein 36
194494	LOC441570		
147327	TNFRSF25	NM_003790.2	putative NFkB activating protein;tumor necrosis factor receptor superfamily, member 25
218047	SBLF	NM_172196.1	stoned B/TFIIA-alpha/beta-like factor;stoned B-like factor;TFIIA-alpha/beta-like factor
170832	null		
127726	null		
117321	LOC285429	AL122070.1	
126847	null	AX972018.1_CDS_1	
194118	null		
143959	SYNGR1	NM_004711.3	synaptogyrin 1
698132	null		
129180	TBL1X	NM_005647.2	transducin (beta)-like 1X-linked
193132	GLI1	NM_005269.1	glioma-associated oncogene homolog (zinc finger protein)
223304	TTL	NM_153712.3	tubulin tyrosine ligase
107720	LRAT	NM_004744.3	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)
227524	FLJ12610	NM_144712.2	hypothetical protein FLJ12610;solute carrier family 23 (nucleobase transporters), member 3
161338	LOC92017	NM_032167.1	hypothetical protein FLJ12363
207656	TRPV2	NM_016113.3	transient receptor potential cation channel, subfamily V, member 2
165347	FLJ32675	NM_173811.2	hypothetical protein FLJ32675
113019	FOXG1A	NM_005249.3	forkhead box G1B
101958	SLCO3A1	NM_013272.2	solute carrier organic anion transporter family, member 3A1
103468	HNRPUL2	AL834470.1	
204949	MYEOV	AJ223366.1	myeloma overexpressed gene (in a subset of t(11;14) positive multiple myelomas)
177241	VSIG2	NM_014312.3	cortical thymocyte receptor (X. laevis CTX) like
214084	PGM5|LOC440897		
200192	null	NM_005377.2	v-myc myelocytomatosis viral oncogene homolog 2 (avian)
191465	null	BX648801.1	
703195	LOC143678		
546948	LOC90925	AB019437.1_CDS_27	
105916	HIST1H2AD|HIST1H3D	NM_003530.3	histone 1, H3d
119042	LOC440122		
104081	IHPK3	NM_054111.1	inositol hexaphosphate kinase 3
234377	ZDHHC20	AL359394.9_CDS_1	
115257	KIAA0329	NM_014844.1	
698182	null	AK024998.1	
181979	FLJ32312	NM_144709.1	hypothetical protein FLJ32312
235005	TBCC	NM_003192.1	tubulin-specific chaperone c
117028	FOSL2	NM_024530.1	FOS-like antigen 2
222868	MGC23284	BX640980.1	
206315	NIP	NM_144565.2	homolog of Drosophila Numb-interacting protein
165148	SPAG8	NM_012436.2	sperm associated antigen 8
273396	SPON2	NM_012445.1	spondin 2, extracellular matrix protein
153653	PTPN5	NM_032781.2	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)
142829	null		
248921	LOC284581	AK096315.1	
212517	CARD12	NM_021209.3	caspase recruitment domain family, member 12
122279	PEAR1	NM_207369.1	
160544	TREX1	NM_033627.3	three prime repair exonuclease 1
152205	null		
108283	ROR2	NM_004560.2	receptor tyrosine kinase-like orphan receptor 2
137105	CNTNAP4	NM_138994.1	contactin associated protein-like 4
229501	null	AK000840.1	
107658	CA3	NM_005181.2	carbonic anhydrase III, muscle specific
138971	MDN1	NM_014611.1	MDN1, midasin homolog (yeast)
179062	MAP3K1	BX537527.1	
136995	C2orf16	NM_032266.1	chromosome 2 open reading frame 16
248090	null	AK021525.1	
142595	RAP2B	NM_002886.2	RAP2B, member of RAS oncogene family
223453	ATAD3B	NM_031921.3	ATPase family, AAA domain containing 3A;ATPase family, AAA domain containing 3B
190556	AKT3	NM_181690.1	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
128231	B3GNT3	NM_014256.2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3
104763	null		
231903	LOC148696	AL137491.1	
175969	PLCB3	NM_000932.1	phospholipase C, beta 3 (phosphatidylinositol-specific)
129496	GNA14	NM_004297.2	guanine nucleotide binding protein (G protein), alpha 14
209131	RIMS3	NM_014747.2	regulating synaptic membrane exocytosis 3
153858	null		
117345	NEB	NM_004543.2	nebulin
208556	FLJ13231	NM_023073.2	hypothetical protein FLJ13231
124927	FLJ10324	NM_018059.2	hypothetical protein FLJ10324
231520	LOC254100	AK057616.1	
205361	EXOC3	NM_007277.3	SEC6-like 1 (S. cerevisiae)
206810	null		
183841	SCGB1C1	NM_145651.1	ligand binding protein RYD5
180013	ANKRD35	NM_144698.2	hypothetical protein FLJ25124
212516	FBXL2	NM_012157.2	F-box and leucine-rich repeat protein 2
177467	ZBTB26	NM_020924.2	zinc finger and BTB domain containing 26
192808	null	M17657.1	
212606	FLJ10490	NM_018111.1	hypothetical protein FLJ10490
135364	CECR4	AF307448.1	
104218	CHX10	NM_182894.1	ceh-10 homeo domain containing homolog (C. elegans)
141711	KLF8	NM_007250.2	Kruppel-like factor 8
154673	RABGAP1L	AB007940.1	
132367	KCNH1	NM_002238.2	potassium voltage-gated channel, subfamily H (eag-related), member 1
178845	CD177	NM_020406.1	polycythemia rubra vera 1
154818	null		
176158	SEPT1	NM_052838.2	septin 1
228526	LOC202451	NM_020340.2	KIAA1244
194950	null		
196674	PIB5PA	NM_014422.1	
160688	LOC126075	BC038439.1	
106407	ALS2CR19	NM_057177.4	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 19
213865	ZNF510	NM_014930.1	
147380	null		
194088	null	BC048341.1	
218152	C19orf16	AK127979.1	
230996	LOC400623		
177086	TSPYL2	NM_022117.1	cutaneous T-cell lymphoma-associated tumor antigen se20-4
167117	HIST1H2BN	BC011372.1	histone 1, H2bn
144527	LOC391269		
182278	GPR146	NM_138445.2	G protein-coupled receptor 146
232673	LOC283487	NM_178514.2	hypothetical protein LOC283487
453928	null	AK001871.1	
141572	ZP3	NM_007155.4	zona pellucida glycoprotein 3 (sperm receptor)
230763	LOC116349	BC029796.1	
118843	LOC348120	BC047459.1	
223525	null		
179485	C9orf45	NM_030814.3	chromosome 9 open reading frame 45
134147	null		
132542	C19orf21	NM_173481.2	chromosome 19 open reading frame 21
187607	null		
165100	LOC342979		
173905	null	X57607.1	
706291	LOC284323	AX746890.1	
547668	LOC388514		
178907	CENTB5	NM_030649.1	centaurin, beta 5
203903	MGC13040	NM_032930.1	hypothetical protein MGC13040
147437	SYNGR3	NM_004209.4	synaptogyrin 3
541213	null		
231920	DKFZP434H168	AK124129.1	
171778	IGLL1	NM_020070.2	immunoglobulin lambda-like polypeptide 1
530131	PRR5	Z98743.1_CDS_1	
235051	null		
129236	null		
101757	XRRA1	AF439934.1	
150161	RCE1	NM_005133.1	RCE1 homolog, prenyl protein protease (S. cerevisiae)
198629	OLFM2	NM_058164.1	olfactomedin 2
201049	null		
126000	ZNF533	NM_152520.2	zinc finger protein 533
145670	C10orf30	NM_152751.1	chromosome 10 open reading frame 30
